id,dealer,vendor,model,date,sale_type
97250,1,Audi,Q5,2010-01-05,Контракт
106380,2,SUZUKI,SX4,2010-01-07,Контракт
104962,2,SUZUKI,Grand Vitara,2010-01-08,Контракт
93759,1,Audi,A4,2010-01-08,Контракт
102130,2,SUZUKI,SX4,2010-01-09,Контракт
102186,2,SUZUKI,Grand Vitara,2010-01-10,Контракт
97251,1,Audi,Q5,2010-01-11,Контракт
93781,1,Audi,A6,2010-01-11,Контракт
106381,2,SUZUKI,SX4,2010-01-12,Контракт
102162,2,SUZUKI,Grand Vitara,2010-01-12,Контракт
93879,1,Audi,Q5,2010-01-12,Контракт
100488,1,Audi,A5,2010-01-12,Расторжение
102157,2,SUZUKI,SX4,2010-01-12,Контракт
102140,2,SUZUKI,SX4,2010-01-12,Контракт
93848,1,Audi,A6,2010-01-12,Контракт
106382,2,SUZUKI,Grand Vitara,2010-01-13,Контракт
107851,2,SUZUKI,Grand Vitara,2010-01-13,Расторжение
107899,2,SUZUKI,Grand Vitara,2010-01-13,Расторжение
102158,2,SUZUKI,SX4,2010-01-13,Контракт
107898,2,SUZUKI,SX4,2010-01-13,Расторжение
107908,2,SUZUKI,Grand Vitara,2010-01-13,Расторжение
93881,1,Audi,Q5,2010-01-13,Контракт
93880,1,Audi,Q5,2010-01-13,Контракт
104963,2,SUZUKI,Grand Vitara,2010-01-13,Контракт
98860,1,Audi,Q5,2010-01-13,Контракт
98861,1,Audi,Q5,2010-01-14,Контракт
106385,2,SUZUKI,Grand Vitara,2010-01-14,Контракт
106384,2,SUZUKI,SX4,2010-01-14,Контракт
106383,2,SUZUKI,SX4,2010-01-14,Контракт
93801,1,Audi,A5,2010-01-14,Контракт
100496,1,Audi,A5,2010-01-15,Расторжение
93779,1,Audi,A4,2010-01-15,Контракт
106386,2,SUZUKI,Grand Vitara,2010-01-15,Контракт
102136,2,SUZUKI,SX4,2010-01-15,Контракт
104964,2,SUZUKI,Grand Vitara,2010-01-15,Контракт
97252,1,Audi,Q7,2010-01-15,Контракт
102142,2,SUZUKI,SX4,2010-01-15,Контракт
106387,2,SUZUKI,SX4,2010-01-16,Контракт
106388,2,SUZUKI,Grand Vitara,2010-01-16,Контракт
97253,1,Audi,Q5,2010-01-16,Контракт
93804,1,Audi,A5,2010-01-16,Контракт
98862,1,Audi,Q5,2010-01-16,Контракт
104965,2,SUZUKI,SX4,2010-01-16,Контракт
102141,2,SUZUKI,SX4,2010-01-17,Контракт
102145,2,SUZUKI,SX4,2010-01-17,Контракт
102170,2,SUZUKI,Grand Vitara,2010-01-17,Контракт
98864,1,Audi,A5,2010-01-17,Контракт
102161,2,SUZUKI,SX4,2010-01-17,Контракт
97254,1,Audi,Q7,2010-01-17,Контракт
98863,1,Audi,A4,2010-01-17,Контракт
106389,2,SUZUKI,SX4,2010-01-17,Контракт
106390,2,SUZUKI,SX4,2010-01-17,Контракт
93788,1,Audi,Q5,2010-01-18,Контракт
